Click_tab_name,click_tab_location,UP_first_row_cell,UP_first_row_location,NDF_first_row_cell,NDF_first_row_location,PP_first_row_cell,PP_first_row_location,PR_first_row_cell,PR_first_row_location,48HP_first_row_cell,48HP_first_row_location,PME_first_row_cell,PME_first_row_location,BC24_first_row_cell,BC24_first_row_location,PC_first_row_cell,PC_first_row_location,YP_first_row_cell,YP_first_row_location,YPL_first_row_cell,YPL_first_row_location,RPS_first_row_cell,RPS_first_row_location,DR_first_row_cell,DR_first_row_location,D-LNP_first_row_cell,D-LNP_first_row_location,HC_first_row_cell,HC_first_row_location,BBP_first_row_cell,BBP_first_row_location,CHAN_first_row_cell,CHAN_first_row_location,CPV12_first_row_cell,CPV12_first_row_location,D-NNA_first_row_cell,D-NNA_first_row_location
20,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,,55,
UPrinting,//div[@id='wid-tab']/ul/li/a,01/01/2015 (Thu),//div[@id='UP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='NDF']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='PP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='PR']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='48HP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='PME']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='BC24']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='PC']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='YP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='YPL']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='RPS']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='DR']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='HC']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='BBP']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='CHAN']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='CPV12']/div[2]/div/table/thead/tr/th[2],01/01/2015 (Thu),//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[2]
Next Day Flyers,//div[@id='wid-tab']/ul/li[2]/a/span,Forecast,//div[@id='UP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='NDF']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='PP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='PR']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='48HP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='PME']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='BC24']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='PC']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='YP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='YPL']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='RPS']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='DR']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='HC']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='BBP']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='CHAN']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='CPV12']/div[2]/div/table/thead/tr/th[3],Forecast,//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[3]
PrintPlace,//div[@id='wid-tab']/ul/li[3]/a/span,4 Week Average,//div[@id='UP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='NDF']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='PP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='PR']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='48HP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='PME']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='BC24']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='PC']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='YP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='YPL']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='RPS']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='DR']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='HC']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='BBP']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='CHAN']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='CPV12']/div[2]/div/table/thead/tr/th[5],4 Week Average,//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[5]
Print Runner,//div[@id='wid-tab']/ul/li[4]/a/span,% Complete,//div[@id='UP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='NDF']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='PP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='PR']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='48HP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='PME']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='BC24']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='PC']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='YP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='YPL']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='RPS']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='DR']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='HC']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='BBP']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='CHAN']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='CPV12']/div[2]/div/table/thead/tr/th[6],% Complete,//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[6]
48 Hour Print,//div[@id='wid-tab']/ul/li[5]/a/span,12/25/2014 (Thu),//div[@id='UP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='NDF']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='PP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='PR']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='48HP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='PME']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='BC24']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='PC']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='YP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='YPL']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='RPS']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='DR']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='HC']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='BBP']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='CHAN']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='CPV12']/div[2]/div/table/thead/tr/th[8],12/25/2014 (Thu),//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[8]
Prints Made Easy,//div[@id='wid-tab']/ul/li[6]/a/span,12/18/2014 (Thu),//div[@id='UP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='NDF']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='PP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='PR']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='48HP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='PME']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='BC24']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='PC']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='YP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='YPL']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='RPS']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='DR']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='HC']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='BBP']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='CHAN']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='CPV12']/div[2]/div/table/thead/tr/th[9],12/18/2014 (Thu),//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[9]
Business Cards 24,//div[@id='wid-tab']/ul/li[7]/a/span,12/11/2014 (Thu),//div[@id='UP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='NDF']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='PP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='PR']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='48HP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='PME']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='BC24']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='PC']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='YP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='YPL']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='RPS']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='DR']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='HC']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='BBP']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='CHAN']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='CPV12']/div[2]/div/table/thead/tr/th[10],12/11/2014 (Thu),//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[10]
Postcards.com,//div[@id='wid-tab']/ul/li[8]/a/span,12/04/2014 (Thu),//div[@id='UP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='NDF']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='PP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='PR']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='48HP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='PME']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='BC24']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='PC']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='YP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='YPL']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='RPS']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='DR']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='D-LNP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='HC']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='BBP']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='CHAN']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='CPV12']/div[2]/div/table/thead/tr/th[11],12/04/2014 (Thu),//div[@id='D-NNA']/div[2]/div/table/thead/tr/th[11]
YouPrint,//div[@id='wid-tab']/ul/li[9]/a/span,Hour,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th,Hour,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th
YouPrint Labels,//div[@id='wid-tab']/ul/li[10]/a/span,Order Count,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[2],Order Count,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[2]
24HourPrint,//div[@id='wid-tab']/ul/li[11]/a/span,Sales Amount,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[3],Sales Amount,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[3]
Digital Room,//div[@id='wid-tab']/ul/li[12]/a/span,AOV,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[4],AOV,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[4]
Live Nation Printing,//div[@id='wid-tab']/ul/li[13]/a/span,Orders,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[5],Orders,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[5]
Hotcards,//div[@id='wid-tab']/ul/li[14]/a/span,$,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[6],$,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[6]
Bargain Basement Printing,//div[@id='wid-tab']/ul/li[15]/a/span,Order Count,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[8],Order Count,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[8]
Chan Printing,//div[@id='wid-tab']/ul/li[16]/a/span,Sales Amount,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[9],Sales Amount,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[9]
V12 Group,//div[@id='wid-tab']/ul/li[17]/a/span,AOV,//div[@id='UP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='NDF']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='PP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='PR']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='48HP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='PME']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='BC24']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='PC']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='YP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='YPL']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='RPS']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='DR']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='D-LNP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='HC']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='BBP']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='CHAN']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='CPV12']/div[2]/div/table/thead/tr[2]/th[10],AOV,//div[@id='D-NNA']/div[2]/div/table/thead/tr[2]/th[10]
